RA,DEC,DIST,MAG,TYPE,NAME,SIZE
195.06864,30.785021,202.4291,4.88,star K1IIIp,"HIP 63462 ;HD  112989 ;HR  4924 ;BF  37    Com ;",0
254.00625,65.134796,15.2579,4.88,star F6Vvar,"HIP 82860 ;HD  153597 ;HR  6315 ;GL  Gl 648 ;BF  19    Dra ;",0
269.449185,-41.716295,138.5042,4.88,star M0III,"HIP 87936 ;HD  163376 ;HR  6682 ;",0
280.88022,-8.275215,165.0165,4.88,star G8II,"HIP 91845 ;HD  173009 ;HR  7032 ;BF  Eps Sct ;",0
289.408665,-18.952908,147.7105,4.88,star K0III,"HIP 94820 ;HD  180540 ;HR  7304 ;BF  43    Sgr ;",0
293.80413,-48.099202,113.6364,4.88,star G9III,"HIP 96341 ;HD  184127 ;HR  7424 ;BF  Iot Tel ;",0
356.76426,58.651989,53.3333,4.88,star K1III,"HIP 117301 ;HD  223165 ;HR  9008 ;BF  5Tau Cas ;",0
359.668245,-3.555983,71.8907,4.88,star G9III,"HIP 118209 ;HD  224533 ;HR  9067 ;BF  27    Psc ;",0
359.75223,55.754928,100000,4.88,star B1V...,"HIP 118243 ;HD  224572 ;HR  9071 ;BF  8Sig Cas ;",0
2.816085,-15.467977,18.7477,4.89,star F5V,"HIP 910 ;HD  693 ;HR  33 ;GL  Gl 10 ;BF  6    Cet ;",0
72.47769,37.488275,154.321,4.89,star K4II,"HIP 22453 ;HD  30504 ;HR  1533 ;",0
81.18678,1.846445,318.4713,4.89,star B1V:pe,"HIP 25302 ;HD  35439 ;HR  1789 ;BF  25Psi1Ori ;",0
87.38721,12.651324,76.2777,4.89,star B9IV,"HIP 27511 ;HD  38899 ;HR  2010 ;BF  134    Tau ;",0
114.7914,34.584346,50.9944,4.89,star F3III,"HIP 37265 ;HD  61110 ;HR  2930 ;BF  71Omi Gem ;",0
116.53104,18.510043,104.0583,4.89,star K5III,"HIP 37908 ;HD  62721 ;HR  3003 ;BF  81    Gem ;",0
157.841625,-53.715484,21.8103,4.89,star F6V,"HIP 51523 ;HD  91324 ;HR  4134 ;GL  Gl 397.2 ;",0
159.388635,-13.384543,208.3333,4.89,star C,"HIP 52009 ;HD  92055 ;HR  4163 ;",0
176.63064,-40.500354,9.2208,4.89,star G3/G5V,"HIP 57443 ;HD  102365 ;HR  4523 ;GL  Gl 442A ;",0
177.963555,-65.20591,111.1111,4.89,star B4V,"HIP 57851 ;HD  103079 ;HR  4549 ;",0
193.323945,21.244943,86.8056,4.89,star G8III,"HIP 62886 ;HD  112033 ;HR  4894 ;BF  35    Com ;",0
214.558155,-81.00776,42.337,4.89,star A2m...,"HIP 69896 ;HD  123998 ;HR  5303 ;BF  Eta Aps ;",0
256.34454,12.740828,40.8664,4.89,star A4IV,"HIP 83613 ;HD  154494 ;HR  6355 ;BF  60    Her ;",0
263.043765,55.184243,30.248,4.89,star Am...,"HIP 85819 ;HD  159541 ;HR  6554 ;BF  24Nu 1Dra ;",0
296.069145,37.354355,88.6525,4.89,star G8III,"HIP 97118 ;HD  186675 ;HR  7517 ;BF  15    Cyg ;",0
312.492,-33.779722,116.0093,4.89,star G8III,"HIP 102831 ;HD  198232 ;HR  7965 ;BF  Alp Mic ;",0
339.815325,39.050269,529.1005,4.89,star O9V,"HIP 111841 ;HD  214680 ;HR  8622 ;BF  10    Lac ;",0
352.50804,58.54892,190.4762,4.89,star B3IV,"HIP 115990 ;HD  221253 ;HR  8926 ;",0
12.20838,50.968168,126.2626,4.9,star B9III,"HIP 3801 ;HD  4636 ;HR  223 ;BF  25Nu  Cas ;",0
21.405135,-14.598796,88.1834,4.9,star K2III,"HIP 6670 ;HD  8705 ;HR  412 ;BF  46    Cet ;",0
85.619295,1.474629,90.009,4.9,star K1III,"HIP 26885 ;HD  37984 ;HR  1963 ;BF  51    Ori ;",0
104.404635,45.094094,73.8552,4.9,star A2Vn,"HIP 33485 ;HD  50973 ;HR  2585 ;BF  16    Lyn ;",0
192.671535,-33.999302,122.6994,4.9,star B9V,"HIP 62683 ;HD  111597 ;HR  4874 ;",0
198.56367,-59.103235,18.1984,4.9,star F7IV,"HIP 64583 ;HD  114837 ;HR  4989 ;GL  Gl 503A ;",0
240.8508,-38.602541,122.549,4.9,star B6III/IV,"HIP 78655 ;HD  143699 ;HR  5967 ;",0
241.36065,-19.80186,122.1001,4.9,star B2V,"HIP 78821 ;HD  144218 ;HR  5985 ;BF  8Bet2Sco ;",0
247.11633,-70.084401,12.1168,4.9,star F9V,"HIP 80686 ;HD  147584 ;HR  6098 ;GL  Gl 624 ;BF  Zet TrA ;",0
297.767115,22.610046,193.0502,4.9,star B2.5V,"HIP 97679 ;HD  187811 ;HR  7565 ;BF  12    Vul ;",0
312.370635,-46.226826,126.5823,4.9,star K5III,"HIP 102790 ;HD  198048 ;HR  7952 ;BF  Zet Ind ;",0
40.56216,40.193944,24.1896,4.91,star F9V,"HIP 12623 ;HD  16739 ;HR  788 ;GL  Gl 105.6 ;BF  12    Per ;",0
67.96944,-0.044011,201.2072,4.91,star K3II-III,"HIP 21139 ;HD  28749 ;HR  1437 ;BF  45    Eri ;",0
75.35658,-20.051918,60.6796,4.91,star B9V,"HIP 23362 ;HD  32309 ;HR  1621 ;",0
76.86246,18.645052,15.4345,4.91,star G4V,"HIP 23835 ;HD  32923 ;HR  1656 ;GL  Gl 188A ;BF  104    Tau ;",0
94.99833,-2.944493,142.4501,4.91,star M1III,"HIP 30093 ;HD  44131 ;HR  2275 ;",0
107.557005,-4.237106,62.1891,4.91,star K0III,"HIP 34622 ;HD  54810 ;HR  2701 ;BF  20    Mon ;",0
107.913825,39.320549,148.8095,4.91,star K4II-III,"HIP 34752 ;HD  54716 ;HR  2696 ;BF  63    Aur ;",0
159.645645,-16.876572,64.5578,4.91,star G8III,"HIP 52085 ;HD  92214 ;HR  4171 ;BF  Phi3Hya ;",0
190.485765,-59.685819,293.2551,4.91,star B6IV,"HIP 61966 ;HD  110335 ;HR  4823 ;",0
203.699145,37.182415,45.6621,4.91,star F2IV SB,"HIP 66257 ;HD  118216 ;HR  5110 ;",0
225.24312,-8.518943,90.009,4.91,star B9.5V,"HIP 73473 ;HD  132742 ;HR  5586 ;BF  19Del Lib ;",0
228.6555,-31.519121,598.8024,4.91,star F3III,"HIP 74604 ;HD  135153 ;HR  5660 ;BF  1    Lup ;",0
250.39326,-17.742167,126.4223,4.91,star G8II/III,"HIP 81724 ;HD  150416 ;HR  6196 ;GL  Wo 9574 ;",0
256.333935,54.470042,27.4348,4.91,star F5,"HIP 83608 ;HD  154905 ;HR  6369 ;GL  Wo 9584B ;BF  21Mu  Dra ;",0
298.907505,52.438948,86.2813,4.91,star A4Vn,"HIP 98055 ;HD  189037 ;HR  7619 ;BF  24Psi Cyg ;",0
307.412505,-2.885531,61.2745,4.91,star K2III,"HIP 101101 ;HD  195135 ;HR  7831 ;BF  69    Aql ;",0
309.1818,-2.549957,398.4064,4.91,star K5II,"HIP 101692 ;HD  196321 ;HR  7873 ;BF  70    Aql ;",0
338.25015,-61.982122,88.968,4.91,star M4III,"HIP 111310 ;HD  213442 ;HR  8582 ;BF  Nu  Tuc ;",0
343.80696,8.816166,95.6938,4.91,star A1V,"HIP 113186 ;HD  216735 ;HR  8717 ;BF  50Rho Peg ;",0
29.167485,-22.526785,108.2251,4.92,star K3III,"HIP 9061 ;HD  11930 ;HR  565 ;BF  56    Cet ;",0
90.460095,-10.59793,240.3846,4.92,star B5III,"HIP 28574 ;HD  40967 ;HR  2128 ;BF  3    Mon ;",0
91.246365,-16.484435,278.5515,4.92,star Ap shell,"HIP 28816 ;HD  41511 ;HR  2148 ;BF  17    Lep ;",0
96.224595,49.287893,100000,4.92,star K5Iabvar,"HIP 30520 ;HD  44537 ;HR  2289 ;BF  46Psi1Aur ;",0
105.97344,-49.58392,60.5694,4.92,star A4IV,"HIP 34059 ;HD  53811 ;HR  2672 ;",0
112.768665,82.411466,153.1394,4.92,star M4IIIa,"HIP 36547 ;HD  55966 ;HR  2742 ;",0
138.903,-38.569942,68.8705,4.92,star K1III,"HIP 45439 ;HD  79917 ;HR  3682 ;",0
166.333005,-27.293612,43.2339,4.92,star F3IV/V,"HIP 54204 ;HD  96202 ;HR  4314 ;GL  NN 3642A ;BF  Chi1Hya ;",0
186.60027,27.268237,84.6024,4.92,star F0p,"HIP 60697 ;HD  108283 ;HR  4733 ;BF  14    Com ;",0
203.53305,3.658967,56.6572,4.92,star A1p SrCrEu,"HIP 66200 ;HD  118022 ;HR  5105 ;BF  78    Vir ;",0
207.42846,21.264105,123.0012,4.92,star K4III,"HIP 67480 ;HD  120539 ;HR  5201 ;BF  6    Boo ;",0
221.24667,-35.191826,65.703,4.92,star A0V,"HIP 72104 ;HD  129685 ;HR  5489 ;",0
231.049545,-10.322266,31.2305,4.92,star F5IV,"HIP 75379 ;HD  137052 ;HR  5723 ;BF  31Eps Lib ;",0
271.70787,-43.425216,41.841,4.92,star A5V,"HIP 88726 ;HD  165189 ;HR  6749 ;",0
275.074635,21.961297,120.1923,4.92,star M1III,"HIP 89861 ;HD  168720 ;HR  6868 ;BF  106    Her ;",0
277.939305,-45.914814,216.9197,4.92,star B6IV,"HIP 90830 ;HD  170465 ;HR  6934 ;BF  Del1Tel ;",0
283.30644,50.708221,139.8601,4.92,star G8III,"HIP 92689 ;HD  175535 ;HR  7137 ;",0
311.218785,25.270617,99.6016,4.92,star K2III,"HIP 102388 ;HD  197752 ;HR  7939 ;BF  30    Vul ;",0
62.71062,-41.993573,54.8246,4.93,star A9V,"HIP 19515 ;HD  26612 ;HR  1302 ;BF  Del Hor ;",0
64.31526,20.578591,28.9436,4.93,star A3m,"HIP 19990 ;HD  27045 ;HR  1329 ;BF  50Ome2Tau ;",0
65.10267,34.566725,66.9344,4.93,star G8III,"HIP 20252 ;HD  27348 ;HR  1343 ;BF  54    Per ;",0
74.81418,37.890245,52.2739,4.93,star A1V,"HIP 23179 ;HD  31647 ;HR  1592 ;BF  4Ome Aur ;",0
113.915475,-52.533836,120.3369,4.93,star K3III,"HIP 36942 ;HD  61248 ;HR  2934 ;",0
115.75182,58.71036,81.8331,4.93,star A3IVn,"HIP 37609 ;HD  61497 ;HR  2946 ;BF  24    Lyn ;",0
119.93397,-3.679583,84.246,4.93,star K2III,"HIP 39079 ;HD  65695 ;HR  3122 ;BF  27    Mon ;",0
134.24343,-59.229338,206.6116,4.93,star B2IV-V,"HIP 43937 ;HD  77002 ;HR  3582 ;",0
145.560165,-23.915569,15.0128,4.93,star G0V,"HIP 47592 ;HD  84117 ;HR  3862 ;GL  Gl 364 ;",0
173.06835,-29.261022,26.295,4.93,star F8V,"HIP 56280 ;HD  100286 ;HR  4443 ;",0
175.22352,-62.090101,272.4796,4.93,star G3Ib,"HIP 56986 ;HD  101570 ;HR  4499 ;",0
184.08558,23.945409,76.4526,4.93,star K0III,"HIP 59847 ;HD  106714 ;HR  4667 ;BF  7    Com ;",0
192.924675,27.540712,89.1266,4.93,star G0III,"HIP 62763 ;HD  111812 ;HR  4883 ;BF  31    Com ;",0
195.181875,56.366338,25.4453,4.93,star F2V,"HIP 63503 ;HD  113139 ;HR  4931 ;BF  78    UMa ;",0
212.71035,-16.30203,141.2429,4.93,star M1III,"HIP 69269 ;HD  123934 ;HR  5301 ;",0
222.75447,-2.29915,67.0241,4.93,star G8...,"HIP 72631 ;HD  130952 ;HR  5535 ;BF  11    Lib ;",0
226.82523,24.869195,19.5542,4.93,star F5V,"HIP 73996 ;HD  134083 ;HR  5634 ;GL  Gl 578 ;BF  45    Boo ;",0
242.999955,-10.064253,47.7099,4.93,star A3IV,"HIP 79375 ;HD  145570 ;HR  6031 ;BF  15Psi Sco ;",0
294.222705,-7.027477,515.4639,4.93,star B0.5III,"HIP 96483 ;HD  184915 ;HR  7446 ;BF  39Kap Aql ;",0
301.8465,-52.880793,331.1258,4.93,star M1II,"HIP 99120 ;HD  190421 ;HR  7673 ;BF  Xi  Tel ;",0
302.35674,36.839621,317.4603,4.93,star B2.5V,"HIP 99303 ;HD  191610 ;HR  7708 ;BF  28    Cyg ;",0
303.633435,36.806302,42.6985,4.93,star A2V,"HIP 99770 ;HD  192640 ;HR  7736 ;BF  29    Cyg ;",0
311.794785,34.374123,136.4256,4.93,star K3IIIvar,"HIP 102571 ;HD  198134 ;HR  7956 ;",0
349.212255,-7.726504,187.9699,4.93,star M3III,"HIP 114939 ;HD  219576 ;HR  8850 ;BF  92Chi Aqr ;",0
355.997835,29.361454,68.7758,4.93,star K0III,"HIP 117073 ;HD  222842 ;HR  8997 ;BF  78    Peg ;",0
33.092865,30.303067,89.1266,4.94,star F5V comp SB,"HIP 10280 ;HD  13480 ;HR  642 ;BF  6    Tri ;",0
44.76534,35.183128,112.8668,4.94,star K2III,"HIP 13905 ;HD  18449 ;HR  882 ;BF  24    Per ;",0
104.066625,-48.721144,263.8522,4.94,star M1III,"HIP 33357 ;HD  51799 ;HR  2608 ;",0
110.556375,-19.0166,147.4926,4.94,star B5II/III,"HIP 35727 ;HD  57821 ;HR  2812 ;",0
120.87951,27.794332,78.5546,4.94,star K2III,"HIP 39424 ;HD  66216 ;HR  3149 ;BF  Chi Gem ;",0
132.4485,-45.307875,340.1361,4.94,star A2III,"HIP 43347 ;HD  75710 ;HR  3520 ;",0
148.717545,-19.00936,188.3239,4.94,star K5III,"HIP 48615 ;HD  85951 ;HR  3923 ;",0
156.03273,65.566423,104.0583,4.94,star A0sp...,"HIP 50933 ;HD  89822 ;HR  4072 ;GL  Wo 9327 ;",0
157.75863,-73.22149,316.4557,4.94,star K4/K5III,"HIP 51495 ;HD  91496 ;HR  4142 ;",0
197.263635,-23.11807,70.9723,4.94,star K0III,"HIP 64166 ;HD  114149 ;HR  4958 ;BF  45Psi Hya ;",0
198.428955,40.152885,140.8451,4.94,star K0III,"HIP 64540 ;HD  115004 ;HR  4997 ;",0
246.996,68.768137,149.2537,4.94,star A0III,"HIP 80650 ;HD  149212 ;HR  6161 ;BF  15    Dra ;",0
285.003435,32.145514,338.9831,4.94,star K3III,"HIP 93279 ;HD  176670 ;HR  7192 ;BF  15Lam Lyr ;",0
303.569235,15.197609,45.977,4.94,star A2V,"HIP 99742 ;HD  192425 ;HR  7724 ;BF  67Rho Aql ;",0
307.514745,48.951569,278.5515,4.94,star B2.5IV,"HIP 101138 ;HD  195556 ;HR  7844 ;BF  45Ome1Cyg ;",0
332.536395,-32.548407,18.2782,4.94,star F6V,"HIP 109422 ;HD  210302 ;HR  8447 ;GL  Gl 849.1 ;BF  15Tau PsA ;",0
10.86699,47.024546,53.6769,4.95,star A5V,"HIP 3414 ;HD  4058 ;HR  184 ;BF  20Pi  Cas ;",0
20.020485,58.231611,100000,4.95,star F0Ia,"HIP 6242 ;HD  7927 ;HR  382 ;BF  34Phi Cas ;",0
59.356005,63.072264,110.6195,4.95,star B9.5V,"HIP 18505 ;HD  24479 ;HR  1204 ;",0
85.21131,-1.128787,275.4821,4.95,star B2IV-V,"HIP 26736 ;HD  37756 ;HR  1952 ;",0
93.013665,16.130406,162.0746,4.95,star B5Vn,"HIP 29434 ;HD  42545 ;HR  2198 ;BF  69    Ori ;",0
171.98433,2.856265,172.4138,4.95,star G8II-III,"HIP 55945 ;HD  99648 ;HR  4418 ;BF  84Tau Leo ;",0
188.68353,70.02177,184.5018,4.95,star K2III,"HIP 61384 ;HD  109551 ;HR  4795 ;BF  6    Dra ;",0
239.547375,-14.279358,143.472,4.95,star B8Ia/Iab,"HIP 78207 ;HD  142983 ;HR  5941 ;BF  48    Lib ;",0
243.36972,-54.630467,131.2336,4.95,star G4III,"HIP 79509 ;HD  145397 ;HR  6024 ;BF  Kap Nor ;",0
244.376865,75.75533,29.7354,4.95,star F5V,"HIP 79822 ;HD  148048 ;HR  6116 ;GL  NN 3950A ;BF  21Eta UMi ;",0
298.965675,38.486705,442.4779,4.95,star B5IV,"HIP 98068 ;HD  188892 ;HR  7613 ;BF  22    Cyg ;",0
300.436395,-59.375893,145.7726,4.95,star M6III,"HIP 98608 ;HD  189124 ;HR  7625 ;",0
343.008375,43.312417,99.7009,4.95,star M0III,"HIP 112917 ;HD  216397 ;HR  8699 ;BF  15    Lac ;",0
351.73314,1.255608,47.0588,4.95,star A0p,"HIP 115738 ;HD  220825 ;HR  8911 ;BF  8Kap Psc ;",0
356.597985,3.486811,275.4821,4.95,star C5II,"HIP 117245 ;HD  223075 ;HR  9004 ;BF  19    Psc ;",0
25.145055,40.577049,218.3406,4.96,star B8III,"HIP 7818 ;HD  10205 ;HR  477 ;BF  53Tau And ;",0
25.445745,42.613369,12.7389,4.96,star G2V,"HIP 7918 ;HD  10307 ;HR  483 ;GL  Gl 67 ;",0
38.461275,-28.232343,148.368,4.96,star B9V,"HIP 11918 ;HD  16046 ;HR  749 ;BF  Ome For ;",0
50.360715,43.329651,46.1681,4.96,star A3V,"HIP 15648 ;HD  20677 ;HR  1002 ;BF  32    Per ;",0
67.10988,16.359672,57.241,4.96,star K2IIIvar,"HIP 20877 ;HD  28292 ;HR  1407 ;BF  75    Tau ;",0
79.81917,22.096494,75.815,4.96,star G8III,"HIP 24822 ;HD  34559 ;HR  1739 ;BF  109    Tau ;",0
88.711605,55.706947,73.046,4.96,star A2V,"HIP 27949 ;HD  39283 ;HR  2029 ;BF  30Xi  Aur ;",0
207.467865,-18.134168,74.9064,4.96,star K0III,"HIP 67494 ;HD  120452 ;HR  5196 ;BF  89    Vir ;",0
239.44794,54.749762,33.5796,4.96,star F0IV,"HIP 78180 ;HD  143466 ;HR  5960 ;",0
240.83595,-25.86524,63.6537,4.96,star K3III,"HIP 78650 ;HD  143787 ;HR  5969 ;",0
271.50792,22.218879,226.2443,4.96,star M3IIIa+...,"HIP 88657 ;HD  165625 ;HR  6765 ;BF  98    Her ;",0
272.93055,-23.701235,78.4929,4.96,star K0III,"HIP 89153 ;HD  166464 ;HR  6801 ;BF  11    Sgr ;",0
272.975655,31.40535,166.9449,4.96,star M3III,"HIP 89172 ;HD  167006 ;HR  6815 ;BF  104    Her ;",0
351.209385,62.282806,240.9639,4.96,star M1III,"HIP 115590 ;HD  220652 ;HR  8904 ;BF  4    Cas ;",0
18.795645,-45.531664,15.1149,4.97,star F8V,"HIP 5862 ;HD  7570 ;HR  370 ;GL  Gl 55 ;BF  Nu  Phe ;",0
29.000055,68.685242,215.0538,4.97,star B8III,"HIP 9009 ;HD  11529 ;HR  548 ;BF  46Ome Cas ;",0
55.594365,33.965026,323.6246,4.97,star B0.5V,"HIP 17313 ;HD  22951 ;HR  1123 ;BF  40    Per ;",0
60.325455,-61.078822,97.8474,4.97,star K4III,"HIP 18772 ;HD  25728 ;HR  1266 ;BF  Iot Ret ;",0
65.088405,27.350754,98.4252,4.97,star K1III,"HIP 20250 ;HD  27382 ;HR  1348 ;BF  52Phi Tau ;",0
88.874625,-37.120668,102.0408,4.97,star K1IIICN...,"HIP 28010 ;HD  40176 ;HR  2087 ;BF  Xi  Col ;",0
118.37424,26.765783,68.2128,4.97,star A3V,"HIP 38538 ;HD  64145 ;HR  3067 ;BF  83Phi Gem ;",0
155.74236,-66.901498,123.1527,4.97,star B8V,"HIP 50847 ;HD  90264 ;HR  4089 ;",0
185.087415,3.312574,94.4287,4.97,star K1III,"HIP 60172 ;HD  107328 ;HR  4695 ;BF  16    Vir ;",0
202.107555,13.778787,17.9856,4.97,star G5V,"HIP 65721 ;HD  117176 ;HR  5072 ;GL  Gl 512.1 ;BF  70    Vir ;",0
217.04346,-29.491638,120.6273,4.97,star B7/B8V,"HIP 70753 ;HD  126769 ;HR  5407 ;BF  52    Hya ;",0
235.0704,-23.818078,117.2333,4.97,star K3III,"HIP 76742 ;HD  139663 ;HR  5824 ;BF  42    Lib ;",0
244.253895,-50.068122,450.4505,4.97,star F9Ia,"HIP 79790 ;HD  146143 ;HR  6058 ;BF  Gam1Nor ;",0
255.78279,14.091947,121.0654,4.97,star M3III,"HIP 83430 ;HD  154143 ;HR  6337 ;",0
353.48826,31.325277,168.3502,4.97,star K4III,"HIP 116310 ;HD  221673 ;HR  8943 ;BF  72    Peg ;",0
354.94611,-14.222178,43.592,4.97,star A7IV,"HIP 116758 ;HD  222345 ;HR  8968 ;BF  102Ome1Aqr ;",0
356.50851,46.420276,307.6923,4.97,star G5Ib,"HIP 117221 ;HD  223047 ;HR  9003 ;BF  20Psi And ;",0
25.68129,-3.6902,364.9635,4.98,star K3II-III,"HIP 7999 ;HD  10550 ;HR  500 ;",0
32.35554,25.939892,88.4956,4.98,star F2III,"HIP 10053 ;HD  13174 ;HR  623 ;BF  14    Ari ;",0
44.699085,-64.071284,90.3342,4.98,star A5III,"HIP 13884 ;HD  18866 ;HR  909 ;BF  Bet Hor ;",0
76.669335,51.59772,26.2881,4.98,star F0V,"HIP 23783 ;HD  32537 ;HR  1637 ;GL  Gl 187.2A ;BF  9    Aur ;",0
83.81592,-5.387315,100000,4.98,star O7,"HIP 26220 ;HD  37020 ;HR  1893 ;BF  41The1Ori ;",0
83.845425,-5.41606,473.9336,4.98,star O9.5Vpe,"HIP 26235 ;HD  37041 ;HR  1897 ;BF  43The2Ori ;",0
115.09671,-15.26392,213.2196,4.98,star K3III,"HIP 37379 ;HD  61772 ;HR  2959 ;",0
130.00614,-12.475372,119.0476,4.98,star K3III,"HIP 42509 ;HD  73840 ;HR  3431 ;BF  6    Hya ;",0
165.186675,6.101449,46.3607,4.98,star A5III,"HIP 53824 ;HD  95382 ;HR  4294 ;BF  59    Leo ;",0
177.485925,-70.22579,290.6977,4.98,star G5Ib,"HIP 57696 ;HD  102839 ;HR  4538 ;",0
186.747075,26.825699,85.1789,4.98,star A4V,"HIP 60746 ;HD  108382 ;HR  4738 ;BF  16    Com ;",0
232.94577,40.899332,119.0476,4.98,star A5V,"HIP 76041 ;HD  138629 ;HR  5774 ;BF  53Nu 2Boo ;",0
240.360705,29.851061,95.6023,4.98,star A0p...,"HIP 78493 ;HD  143807 ;HR  5971 ;BF  14Iot CrB ;",0
275.977605,58.800736,56.4653,4.98,star A3V,"HIP 90156 ;HD  170073 ;HR  6923 ;BF  39    Dra ;",0
284.061015,4.202132,51.9481,4.98,star A5Vn,"HIP 92951 ;HD  175639 ;HR  7142 ;BF  63The2Ser ;",0
290.137095,-5.415766,47.2813,4.98,star G8III-IV...,"HIP 95066 ;HD  181391 ;HR  7333 ;BF  26    Aql ;",0
298.980765,58.845969,280.8989,4.98,star K5II-III,"HIP 98073 ;HD  189276 ;HR  7633 ;",0
1.125495,-10.509523,641.0256,4.99,star K3Ibvar,"HIP 355 ;HD  225212 ;HR  9103 ;BF  3    Cet ;",0
30.575385,54.487541,223.2143,4.99,star B8III,"HIP 9505 ;HD  12303 ;HR  590 ;BF  4    Per ;",0
52.012755,49.062866,160.7717,4.99,star B5V,"HIP 16147 ;HD  21278 ;HR  1034 ;",0
55.562085,-31.938361,259.7403,4.99,star B5III,"HIP 17304 ;HD  23227 ;HR  1134 ;BF  Del For ;",0
59.284545,61.108883,448.4305,4.99,star K3I-II,"HIP 18488 ;HD  24480 ;HR  1205 ;",0
69.72315,-12.123121,71.3267,4.99,star A0V,"HIP 21644 ;HD  29573 ;HR  1483 ;",0
80.70834,3.544452,476.1905,4.99,star B1V,"HIP 25142 ;HD  35149 ;HR  1770 ;BF  23    Ori ;",0
102.691455,41.78123,116.144,4.99,star K3III,"HIP 32844 ;HD  49520 ;HR  2516 ;BF  58Psi7Aur ;",0
102.71814,-34.367318,250,4.99,star K2/K3III,"HIP 32855 ;HD  50235 ;HR  2549 ;",0
105.728235,-4.239231,373.1343,4.99,star B1V,"HIP 33971 ;HD  52918 ;HR  2648 ;BF  19    Mon ;",0
111.412065,9.276097,319.4888,4.99,star G8III,"HIP 36041 ;HD  58367 ;HR  2828 ;BF  2Eps CMi ;",0
123.333195,-15.788221,266.6667,4.99,star G5Ib/II,"HIP 40259 ;HD  68752 ;HR  3229 ;BF  20    Pup ;",0
136.49319,5.092316,274.7253,4.99,star K2II-III,"HIP 44659 ;HD  77996 ;HR  3613 ;BF  18Ome Hya ;",0
137.76834,-44.867902,100000,4.99,star B5Ia,"HIP 45085 ;HD  79186 ;HR  3654 ;",0
142.98642,11.299827,66.0939,4.99,star K0IIIvar,"HIP 46771 ;HD  82395 ;HR  3782 ;BF  5Xi  Leo ;",0
170.70663,43.482703,163.3987,4.99,star G8II,"HIP 55560 ;HD  98839 ;HR  4392 ;BF  56    UMa ;",0
184.1256,33.061527,96.9932,4.99,star K1III,"HIP 59856 ;HD  106760 ;HR  4668 ;",0
205.436625,-54.559425,83.1947,4.99,star B8Vn+...,"HIP 66821 ;HD  118991 ;HR  5141 ;",0
213.06585,2.409433,79.1766,4.99,star B9p Si,"HIP 69389 ;HD  124224 ;HR  5313 ;",0
230.534625,-47.927792,35.8551,4.99,star F8V,"HIP 75206 ;HD  136351 ;HR  5698 ;GL  NN 3901 ;BF  Nu 1Lup ;",0
230.80125,30.287812,17.8635,4.99,star G2V,"HIP 75312 ;HD  137107 ;HR  5727 ;GL  Gl 584A ;BF  2Eta CrB ;",0
239.876145,-41.744436,133.6898,4.99,star G8III,"HIP 78323 ;HD  143009 ;HR  5943 ;",0
273.473175,64.397287,22.92,4.99,star F5V,"HIP 89348 ;HD  168151 ;HR  6850 ;GL  Gl 708.1 ;BF  36    Dra ;",0
291.031575,29.621338,258.3979,4.99,star B3IV,"HIP 95372 ;HD  182568 ;HR  7372 ;BF  2    Cyg ;",0
301.08162,-32.056296,89.1266,4.99,star K1III/IV,"HIP 98842 ;HD  190056 ;HR  7659 ;",0
332.108055,-34.043841,130.039,4.99,star K4III,"HIP 109289 ;HD  210066 ;HR  8433 ;BF  Ups PsA ;",0
344.108325,49.733544,490.1961,4.99,star K5Ibvar,"HIP 113288 ;HD  216946 ;HR  8726 ;",0
349.740315,-9.61075,80.1925,4.99,star A0V,"HIP 115115 ;HD  219832 ;HR  8865 ;BF  95Psi3Aqr ;",0
61.11318,59.155507,625,5,star F0II,"HIP 19018 ;HD  25291 ;HR  1242 ;",0
81.106065,17.383534,14.3864,5,star F8V SB,"HIP 25278 ;HD  35296 ;HR  1780 ;GL  Gl 202 ;BF  111    Tau ;",0
91.881795,-37.25292,221.2389,5,star B8:IV,"HIP 29034 ;HD  42167 ;HR  2177 ;BF  The Col ;",0
93.93702,-13.718414,125,5,star B9V,"HIP 29735 ;HD  43445 ;HR  2244 ;",0
104.027685,-14.04343,381.6794,5,star B9.5V,"HIP 33345 ;HD  51250 ;HR  2593 ;BF  18Mu  CMa ;",0
109.633245,49.464756,106.9519,5,star A4IIIn,"HIP 35384 ;HD  56169 ;HR  2751 ;",0
144.302775,6.835802,75.3012,5,star K1IIIvar,"HIP 47205 ;HD  83240 ;HR  3827 ;BF  10    Leo ;",0
170.802855,-36.164769,323.6246,5,star K4III,"HIP 55588 ;HD  98993 ;HR  4396 ;",0
175.87998,-62.489396,100000,5,star F9Ia,"HIP 57175 ;HD  101947 ;HR  4511 ;",0
232.854285,77.349352,262.4672,5,star K5III,"HIP 76008 ;HD  139669 ;HR  5826 ;BF  15The UMi ;",0
242.018865,17.04698,112.7396,5,star G8III,"HIP 79043 ;HD  145001 ;HR  6008 ;BF  7Kap Her ;",0
269.772,-30.253025,310.559,5,star K5/M0III,"HIP 88060 ;HD  163755 ;HR  6693 ;",0
271.86975,43.461891,125.6281,5,star G8III...,"HIP 88788 ;HD  166208 ;HR  6791 ;",0
283.779735,-22.671328,83.9631,5,star K1Ib/II,"HIP 92845 ;HD  175190 ;HR  7120 ;GL  Wo 9637 ;BF  35Nu 2Sgr ;",0
